name,a3_gate_mode,trigger_threshold,target_conf_threshold,min_score_margin,min_gain_rsrp_db,cooldown_s,anti_ping_pong_window_s,consecutive_confirmation_steps,model_name,segment_count,positive_segment_count,skipped_positive_events_due_to_no_context,handover_count,successful_handover_count,unnecessary_handover_count,missed_useful_handover_count,ping_pong_count,ping_pong_rate,mean_dwell_time_s,early_prediction_rate,end_to_end_decision_success_rate,decision_success_precision,trigger_precision,trigger_recall,trigger_f1,mean_handover_count_per_ue,std_handover_count_per_ue,lead_time_bins,selection_score,stage
mlp_conservative_stage2_06_12,off,0.7,0.7,0.1,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7295,5485,5270,3085,981,0.1788514129443938,11.721634942526805,0.6148191365227538,0.6400233372228705,0.7518848526387937,0.9932830705962988,0.8455075845974329,0.9134572959344469,60.791666666666664,32.38772808573574,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03938012762078395}, '0.2-0.5s': {'count': 952, 'rate_over_successful': 0.17356426618049225}, '0.5-1.0s': {'count': 2225, 'rate_over_successful': 0.4056517775752051}, '1.0+s': {'count': 2092, 'rate_over_successful': 0.3814038286235187}}",1.8820590524690024,stage2
mlp_conservative_stage2_07_12,off,0.65,0.7,0.0,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7295,5485,5270,3085,981,0.1788514129443938,11.721634942526805,0.6148191365227538,0.6400233372228705,0.7518848526387937,0.9932830705962988,0.8455075845974329,0.9134572959344469,60.791666666666664,32.38772808573574,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03938012762078395}, '0.2-0.5s': {'count': 952, 'rate_over_successful': 0.17356426618049225}, '0.5-1.0s': {'count': 2225, 'rate_over_successful': 0.4056517775752051}, '1.0+s': {'count': 2092, 'rate_over_successful': 0.3814038286235187}}",1.8820590524690024,stage2
mlp_conservative_stage2_05_12,off,0.7,0.7,0.05,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7295,5485,5270,3085,981,0.1788514129443938,11.721634942526805,0.6148191365227538,0.6400233372228705,0.7518848526387937,0.9932830705962988,0.8455075845974329,0.9134572959344469,60.791666666666664,32.38772808573574,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03938012762078395}, '0.2-0.5s': {'count': 952, 'rate_over_successful': 0.17356426618049225}, '0.5-1.0s': {'count': 2225, 'rate_over_successful': 0.4056517775752051}, '1.0+s': {'count': 2092, 'rate_over_successful': 0.3814038286235187}}",1.8820590524690024,stage2
mlp_conservative_stage2_08_12,off,0.65,0.7,0.05,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7295,5485,5270,3085,981,0.1788514129443938,11.721634942526805,0.6148191365227538,0.6400233372228705,0.7518848526387937,0.9932830705962988,0.8455075845974329,0.9134572959344469,60.791666666666664,32.38772808573574,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03938012762078395}, '0.2-0.5s': {'count': 952, 'rate_over_successful': 0.17356426618049225}, '0.5-1.0s': {'count': 2225, 'rate_over_successful': 0.4056517775752051}, '1.0+s': {'count': 2092, 'rate_over_successful': 0.3814038286235187}}",1.8820590524690024,stage2
mlp_conservative_stage2_09_12,off,0.65,0.7,0.1,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7295,5485,5270,3085,981,0.1788514129443938,11.721634942526805,0.6148191365227538,0.6400233372228705,0.7518848526387937,0.9932830705962988,0.8455075845974329,0.9134572959344469,60.791666666666664,32.38772808573574,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03938012762078395}, '0.2-0.5s': {'count': 952, 'rate_over_successful': 0.17356426618049225}, '0.5-1.0s': {'count': 2225, 'rate_over_successful': 0.4056517775752051}, '1.0+s': {'count': 2092, 'rate_over_successful': 0.3814038286235187}}",1.8820590524690024,stage2
mlp_conservative_stage2_04_12,off,0.7,0.7,0.0,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7295,5485,5270,3085,981,0.1788514129443938,11.721634942526805,0.6148191365227538,0.6400233372228705,0.7518848526387937,0.9932830705962988,0.8455075845974329,0.9134572959344469,60.791666666666664,32.38772808573574,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03938012762078395}, '0.2-0.5s': {'count': 952, 'rate_over_successful': 0.17356426618049225}, '0.5-1.0s': {'count': 2225, 'rate_over_successful': 0.4056517775752051}, '1.0+s': {'count': 2092, 'rate_over_successful': 0.3814038286235187}}",1.8820590524690024,stage2
mlp_conservative_stage2_10_12,off,0.6,0.7,0.0,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7295,5484,5270,3086,981,0.17888402625820568,11.72303968898403,0.6147024504084014,0.6399066511085181,0.7517477724468814,0.9932830705962988,0.8455075845974329,0.9134572959344469,60.791666666666664,32.38772808573574,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03938730853391685}, '0.2-0.5s': {'count': 952, 'rate_over_successful': 0.17359591539022612}, '0.5-1.0s': {'count': 2225, 'rate_over_successful': 0.40572574762946756}, '1.0+s': {'count': 2091, 'rate_over_successful': 0.3812910284463895}}",1.8813305436216259,stage2
mlp_conservative_stage2_02_11,off,0.85,0.7,0.05,1.0,1.0,5.0,1,mlp_conservative_k3,8690,8570,0,7567,5359,5623,3211,1053,0.19649188281395782,12.088430923120058,0.6177362893815636,0.6253208868144691,0.7082066869300911,0.9929959032641734,0.876779463243874,0.9312759496808577,63.05833333333333,33.72568156794199,"{'0-0.2s': {'count': 65, 'rate_over_successful': 0.01212912856876283}, '0.2-0.5s': {'count': 571, 'rate_over_successful': 0.10654972942713192}, '0.5-1.0s': {'count': 2012, 'rate_over_successful': 0.3754431796977048}, '1.0+s': {'count': 2711, 'rate_over_successful': 0.5058779623064005}}",1.7385608122982432,stage2
mlp_conservative_stage2_01_11,off,0.85,0.7,0.0,1.0,1.0,5.0,1,mlp_conservative_k3,8690,8570,0,7567,5359,5623,3211,1053,0.19649188281395782,12.088430923120058,0.6177362893815636,0.6253208868144691,0.7082066869300911,0.9929959032641734,0.876779463243874,0.9312759496808577,63.05833333333333,33.72568156794199,"{'0-0.2s': {'count': 65, 'rate_over_successful': 0.01212912856876283}, '0.2-0.5s': {'count': 571, 'rate_over_successful': 0.10654972942713192}, '0.5-1.0s': {'count': 2012, 'rate_over_successful': 0.3754431796977048}, '1.0+s': {'count': 2711, 'rate_over_successful': 0.5058779623064005}}",1.7385608122982432,stage2
mlp_conservative_stage2_03_11,off,0.85,0.7,0.1,1.0,1.0,5.0,1,mlp_conservative_k3,8690,8570,0,7567,5359,5623,3211,1053,0.19649188281395782,12.088430923120058,0.6177362893815636,0.6253208868144691,0.7082066869300911,0.9929959032641734,0.876779463243874,0.9312759496808577,63.05833333333333,33.72568156794199,"{'0-0.2s': {'count': 65, 'rate_over_successful': 0.01212912856876283}, '0.2-0.5s': {'count': 571, 'rate_over_successful': 0.10654972942713192}, '0.5-1.0s': {'count': 2012, 'rate_over_successful': 0.3754431796977048}, '1.0+s': {'count': 2711, 'rate_over_successful': 0.5058779623064005}}",1.7385608122982432,stage2
mlp_conservative_stage2_02_09,off,0.85,0.7,0.05,1.0,1.0,0.0,1,mlp_conservative_k3,8690,8570,0,8597,6228,6657,2342,1994,0.3201669877970456,12.660554824326386,0.7232205367561261,0.7267211201866978,0.7244387577061766,0.9931371408630918,0.9962660443407234,0.9946991320556883,71.64166666666667,38.04532293491832,"{'0-0.2s': {'count': 30, 'rate_over_successful': 0.004816955684007707}, '0.2-0.5s': {'count': 543, 'rate_over_successful': 0.0871868978805395}, '0.5-1.0s': {'count': 2389, 'rate_over_successful': 0.3835902376364804}, '1.0+s': {'count': 3266, 'rate_over_successful': 0.5244059087989724}}",1.7369097521685732,stage2
mlp_conservative_stage2_01_09,off,0.85,0.7,0.0,1.0,1.0,0.0,1,mlp_conservative_k3,8690,8570,0,8597,6228,6657,2342,1994,0.3201669877970456,12.660554824326386,0.7232205367561261,0.7267211201866978,0.7244387577061766,0.9931371408630918,0.9962660443407234,0.9946991320556883,71.64166666666667,38.04532293491832,"{'0-0.2s': {'count': 30, 'rate_over_successful': 0.004816955684007707}, '0.2-0.5s': {'count': 543, 'rate_over_successful': 0.0871868978805395}, '0.5-1.0s': {'count': 2389, 'rate_over_successful': 0.3835902376364804}, '1.0+s': {'count': 3266, 'rate_over_successful': 0.5244059087989724}}",1.7369097521685732,stage2
mlp_conservative_stage2_03_09,off,0.85,0.7,0.1,1.0,1.0,0.0,1,mlp_conservative_k3,8690,8570,0,8597,6228,6657,2342,1994,0.3201669877970456,12.660554824326386,0.7232205367561261,0.7267211201866978,0.7244387577061766,0.9931371408630918,0.9962660443407234,0.9946991320556883,71.64166666666667,38.04532293491832,"{'0-0.2s': {'count': 30, 'rate_over_successful': 0.004816955684007707}, '0.2-0.5s': {'count': 543, 'rate_over_successful': 0.0871868978805395}, '0.5-1.0s': {'count': 2389, 'rate_over_successful': 0.3835902376364804}, '1.0+s': {'count': 3266, 'rate_over_successful': 0.5244059087989724}}",1.7369097521685732,stage2
mlp_conservative_stage2_01_03,off,0.85,0.7,0.0,1.0,0.0,5.0,1,mlp_conservative_k3,8690,8570,0,7601,5361,5658,3209,1058,0.19735124044021637,12.105219782010273,0.6180863477246208,0.6255542590431739,0.7053019339560584,0.992895671622155,0.8806301050175029,0.9333992950343207,63.34166666666667,33.88030298795386,"{'0-0.2s': {'count': 64, 'rate_over_successful': 0.011938071255362805}, '0.2-0.5s': {'count': 555, 'rate_over_successful': 0.10352546166759932}, '0.5-1.0s': {'count': 2027, 'rate_over_successful': 0.37810110054094387}, '1.0+s': {'count': 2715, 'rate_over_successful': 0.506435366536094}}",1.7329073082671904,stage2
mlp_conservative_stage2_02_03,off,0.85,0.7,0.05,1.0,0.0,5.0,1,mlp_conservative_k3,8690,8570,0,7601,5361,5658,3209,1058,0.19735124044021637,12.105219782010273,0.6180863477246208,0.6255542590431739,0.7053019339560584,0.992895671622155,0.8806301050175029,0.9333992950343207,63.34166666666667,33.88030298795386,"{'0-0.2s': {'count': 64, 'rate_over_successful': 0.011938071255362805}, '0.2-0.5s': {'count': 555, 'rate_over_successful': 0.10352546166759932}, '0.5-1.0s': {'count': 2027, 'rate_over_successful': 0.37810110054094387}, '1.0+s': {'count': 2715, 'rate_over_successful': 0.506435366536094}}",1.7329073082671904,stage2
mlp_conservative_stage2_03_03,off,0.85,0.7,0.1,1.0,0.0,5.0,1,mlp_conservative_k3,8690,8570,0,7601,5361,5658,3209,1058,0.19735124044021637,12.105219782010273,0.6180863477246208,0.6255542590431739,0.7053019339560584,0.992895671622155,0.8806301050175029,0.9333992950343207,63.34166666666667,33.88030298795386,"{'0-0.2s': {'count': 64, 'rate_over_successful': 0.011938071255362805}, '0.2-0.5s': {'count': 555, 'rate_over_successful': 0.10352546166759932}, '0.5-1.0s': {'count': 2027, 'rate_over_successful': 0.37810110054094387}, '1.0+s': {'count': 2715, 'rate_over_successful': 0.506435366536094}}",1.7329073082671904,stage2
mlp_conservative_stage2_01_07,off,0.85,0.7,0.0,1.0,0.5,5.0,1,mlp_conservative_k3,8690,8570,0,7599,5362,5655,3208,1058,0.19731443491234613,12.104384049756542,0.6175029171528588,0.6256709451575263,0.7056191604158442,0.9928938018160284,0.8803967327887982,0.9332673634733132,63.325,33.87677732114829,"{'0-0.2s': {'count': 70, 'rate_over_successful': 0.013054830287206266}, '0.2-0.5s': {'count': 552, 'rate_over_successful': 0.10294666169339799}, '0.5-1.0s': {'count': 2028, 'rate_over_successful': 0.3782170831779187}, '1.0+s': {'count': 2712, 'rate_over_successful': 0.505781424841477}}",1.732586957923592,stage2
mlp_conservative_stage2_03_07,off,0.85,0.7,0.1,1.0,0.5,5.0,1,mlp_conservative_k3,8690,8570,0,7599,5362,5655,3208,1058,0.19731443491234613,12.104384049756542,0.6175029171528588,0.6256709451575263,0.7056191604158442,0.9928938018160284,0.8803967327887982,0.9332673634733132,63.325,33.87677732114829,"{'0-0.2s': {'count': 70, 'rate_over_successful': 0.013054830287206266}, '0.2-0.5s': {'count': 552, 'rate_over_successful': 0.10294666169339799}, '0.5-1.0s': {'count': 2028, 'rate_over_successful': 0.3782170831779187}, '1.0+s': {'count': 2712, 'rate_over_successful': 0.505781424841477}}",1.732586957923592,stage2
mlp_conservative_stage2_02_07,off,0.85,0.7,0.05,1.0,0.5,5.0,1,mlp_conservative_k3,8690,8570,0,7599,5362,5655,3208,1058,0.19731443491234613,12.104384049756542,0.6175029171528588,0.6256709451575263,0.7056191604158442,0.9928938018160284,0.8803967327887982,0.9332673634733132,63.325,33.87677732114829,"{'0-0.2s': {'count': 70, 'rate_over_successful': 0.013054830287206266}, '0.2-0.5s': {'count': 552, 'rate_over_successful': 0.10294666169339799}, '0.5-1.0s': {'count': 2028, 'rate_over_successful': 0.3782170831779187}, '1.0+s': {'count': 2712, 'rate_over_successful': 0.505781424841477}}",1.732586957923592,stage2
